Cannascribe,300-18 Kensington Rd,Clinic,Brampton,Ontario,ca,"43.7226191,-79.71751499999999",cannascribe.com,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Inspired Cannabis Co,2976 West Broadway,Retail Store,Vancouver,British Columbia,ca,"49.2640275,-123.1716812",inspiredcannabis.ca,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Cannabinoid Medical Clinic,"2951 Walkers Line, 2nd Floor",Clinic,Burlington,Ontario,ca,"43.392154,-79.8217076",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,"293 Allen Street, Suite 102",Clinic,Charlottetown,PEI,ca,"46.248455,-63.124111",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Phytomedical,26 Meteor Dr,Clinic,Toronto,Ontario,ca,"43.6815404,-79.5905215",phytomedical.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Cannabliss Health Clinic Inc.,2592 Weston Rd,Clinic,Toronto,Ontario,ca,"43.7106884,-79.5352067",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,255 Restigouche Road,Clinic,Oromocto,New New Brunswick,ca,"45.8400584,-66.4968447",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
Canada House Clinics,"255 Glen Miller Road, Unit 12",Clinic,Trenton,Ontario,ca,"44.1370534,-77.5858962",canadahouseclinics.ca,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
La Canapa Boutique Inc.,2549 Main Street,Retail Store,Vancouver,British Columbia,ca,"49.2622046,-123.1013597",,"Hemp Flower, DIY CBD Oil Kit","https://diycbdoil.ca/products/hemp-flower, https://diycbdoil.ca/products/diy-cbd-oil-kit",,,,
Lift Resource Centre,25 Gateway Blvd,Clinic,Brampton,Ontario,ca,"43.73800019999999,-79.7014435",,DIY CBD Oil Kit,https://diycbdoil.ca/products/diy-cbd-oil-kit,,,,
